,Name,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price
1221,Ambassador Classic Nova Diesel,2003,80000,Diesel,Manual,Third,12.8 kmpl,1489 CC,35.5 bhp,5,1350
398,Audi A3 35 TDI Attraction,2014,79271,Diesel,Automatic,First,20.38 kmpl,1968 CC,143 bhp,5,16500
4782,Audi A3 35 TDI Premium,2016,20003,Diesel,Automatic,First,20.38 kmpl,1968 CC,143 bhp,5,19250
4989,Audi A3 35 TDI Premium Plus,2016,39000,Diesel,Automatic,First,20.38 kmpl,1968 CC,143 bhp,5,18900
1954,Audi A3 35 TDI Technology,2017,22000,Diesel,Automatic,Second,20.38 kmpl,1968 CC,143 bhp,5,22500
2626,Audi A4 1.8 TFSI,2010,38001,Petrol,Automatic,First,12.3 kmpl,1781 CC,163.2 bhp,5,8500
3361,Audi A4 1.8 TFSI,2011,53000,Petrol,Automatic,First,12.3 kmpl,1781 CC,163.2 bhp,5,9500
5100,Audi A4 1.8 TFSI Technology Edition,2012,80000,Petrol,Automatic,First,15.64 kmpl,1798 CC,167.62 bhp,5,17500
1918,Audi A4 2.0 TDI,2013,45330,Diesel,Automatic,First,16.55 kmpl,1968 CC,147.51 bhp,5,13190
5264,Audi A4 2.0 TDI,2014,55730,Diesel,Automatic,First,16.55 kmpl,1968 CC,147.51 bhp,5,15210
5429,Audi A4 2.0 TDI,2009,46000,Diesel,Automatic,First,16.55 kmpl,1968 CC,147.51 bhp,5,9950
964,Audi A4 2.0 TDI,2009,34000,Diesel,Automatic,First,16.55 kmpl,1968 CC,147.51 bhp,5,9950
5488,Audi A4 2.0 TDI,2009,46000,Diesel,Automatic,First,,1968 CC,147.51 bhp,5,8500
2240,Audi A4 2.0 TDI,2014,60000,Diesel,Automatic,First,16.55 kmpl,,147.51 bhp,5,24000
5179,Audi A4 2.0 TDI,2011,54000,Diesel,Automatic,First,16.55 kmpl,1968 CC,147.51 bhp,5,180000
2084,Audi A4 2.0 TDI,2013,45200,Diesel,Automatic,First,16.55 kmpl,1968 CC,147.51 bhp,5,13500
2005,Audi A4 2.0 TDI,2013,82002,Diesel,Automatic,Second,16.55 kmpl,1968 CC,,5,17500
4846,Audi A4 2.0 TDI,2013,52000,Diesel,Automatic,First,16.55 kmpl,1968 CC,147.51 bhp,5,19500
2044,Audi A4 2.0 TDI,2013,67000,Diesel,Automatic,First,16.55 kmpl,1968 CC,147.51 bhp,5,14500
854,Audi A4 2.0 TDI,2012,47346,Diesel,Automatic,First,16.55 kmpl,1968 CC,147.51 bhp,5,14500
853,Audi A4 2.0 TDI,2011,46000,Diesel,Automatic,Second,16.55 kmpl,1968 CC,147.51 bhp,5,10990
3717,Audi A4 2.0 TDI 177 Bhp Premium Plus,2014,40000,Diesel,Automatic,First,17.11 kmpl,1968 CC,174.33 bhp,5,17500
2586,Audi A4 2.0 TDI 177 Bhp Premium Plus,2014,57773,Diesel,Automatic,Second,17.11 kmpl,1968 CC,174.33 bhp,5,20040
1268,Audi A4 2.0 TDI 177 Bhp Premium Plus,2014,77395,Diesel,Automatic,First,17.11 kmpl,1968 CC,174.33 bhp,5,14350
1929,Audi A4 2.0 TDI 177 Bhp Premium Plus,2014,70000,Diesel,Automatic,First,17.11 kmpl,1968 CC,174.33 bhp,5,18000
150,Audi A4 2.0 TDI 177 Bhp Premium Plus,2015,48214,Diesel,Automatic,First,17.11 kmpl,1968 CC,174.33 bhp,5,23320
3434,Audi A4 2.0 TDI 177 Bhp Premium Plus,2014,40000,Diesel,Automatic,First,17.11 kmpl,1968 CC,17433 bhp,5,22500
3151,Audi A4 2.0 TDI 177 Bhp Premium Plus,2015,32205,Diesel,Automatic,First,17.11 kmpl,1968 CC,174.33 bhp,5,25310
3261,Audi A4 2.0 TDI 177 Bhp Premium Plus,2013,60001,Diesel,Automatic,First,1711 kmpl,1968 CC,174.33 bhp,5,14500
4868,Audi A4 2.0 TDI 177 Bhp Premium Plus,2013,88000,Diesel,Automatic,First,17.11 kmpl,1968 CC,174.33 bhp,5,16250
5776,Audi A4 2.0 TDI 177 Bhp Premium Plus,2014,40000,Diesel,Automatic,First,17.11 kmpl,1968 CC,174.33 bhp,5,22000
2284,Audi A4 2.0 TDI 177 Bhp Premium Plus,2013,87000,Diesel,Automatic,First,17.11 kmpl,,174.33 bhp,5,15500
717,Audi A4 2.0 TDI 177 Bhp Premium Plus,2013,45979,Diesel,Automatic,Second,17.11 kmpl,1968 CC,174.33 bhp,5,19500
2060,Audi A4 2.0 TDI 177 Bhp Technology Edition,2014,24000,Diesel,Automatic,First,17.11 kmpl,1968 CC,174.33 bhp,5,25000
5027,Audi A4 2.0 TDI 177 Bhp Technology Edition,2014,29000,Diesel,Automatic,First,17.11 kmpl,1968 CC,174.33 bhp,5,26000
5877,Audi A4 2.0 TDI Celebration Edition,2011,57000,Diesel,Automatic,Second,16.55 kmpl,1968 CC,147.51 bhp,5,9750
2898,Audi A4 2.0 TDI Multitronic,2014,53000,Diesel,Automatic,First,16.55 kmpl,1968 CC,140 bhp,5,20500
4379,Audi A4 2.0 TDI Multitronic,2011,58000,Diesel,Automatic,First,16.55 kmpl,1968 CC,140 bhp,5,11000
65,Audi A4 2.0 TDI Multitronic,2012,65664,Diesel,Automatic,First,16.55 kmpl,1968 CC,140 bhp,5,13500
874,Audi A4 2.0 TDI Multitronic,2011,59000,Diesel,Automatic,First,16.55 kmpl,,140 bhp,5,12500
4622,Audi A4 2.0 TDI Multitronic,2015,13000,Diesel,Automatic,First,16.55 kmpl,,140 bhp,5,23000
3702,Audi A4 2.0 TDI Multitronic,2010,59000,Diesel,Automatic,First,16.55 kmpl,1968 CC,140 bhp,5,10000
2078,Audi A4 2.0 TDI Multitronic,2011,105000,Diesel,Automatic,Second,16.55 kmpl,1968 CC,1 bhp,5,14500
3492,Audi A4 2.0 TDI Multitronic,2012,74002,Diesel,Automatic,First,16.55 kmpl,1968 CC,140 bhp,5,18500
5042,Audi A4 2.0 TDI Premium Sport Limited Edition,2015,44811,Diesel,Automatic,First,17.11 kmpl,1968 CC,174.33 bhp,5,25810
2553,Audi A4 2.0 TDI Premium Sport Limited Edition,2015,21979,Diesel,Automatic,First,17.11 kmpl,1968 CC,174.33 bhp,5,23450
4095,Audi A4 3.0 TDI Quattro,2015,35463,Diesel,Automatic,First,14.94 kmpl,2967 CC,241.4 bhp,5,25020
5561,Audi A4 3.0 TDI Quattro,2014,30000,Diesel,Automatic,First,14.94 kmpl,2967 CC,241.4 bhp,5,24500
103,Audi A4 3.0 TDI Quattro Premium,2010,30000,Diesel,Automatic,First,14.94 kmpl,2967 CC,241.4 bhp,5,9800
3999,Audi A4 3.2 FSI Tiptronic Quattro,2012,125000,Petrol,Automatic,First,10.5 kmpl,3197 CC,null bhp,0,18000
3158,Audi A4 30 TFSI Premium Plus,2017,61221,Petrol,Automatic,First,17.84 kmpl,1395 CC,147.51 bhp,5,21730
2114,Audi A4 35 TDI Premium,2015,50000,Diesel,Automatic,First,17.11 kmpl,1968 CC,174.33 bhp,5,25000
4404,Audi A4 35 TDI Premium,2015,60000,Diesel,Automatic,First,17.11 kmpl,1968 CC,174.33 bhp,5,25000
1637,Audi A4 35 TDI Premium,2016,68193,Diesel,Automatic,First,17.11 kmpl,1968 CC,174.33 bhp,5,24740
3730,Audi A4 35 TDI Premium,2015,58970,Diesel,Automatic,First,17.11 kmpl,1968 CC,174.33 bhp,5,23750
2506,Audi A4 35 TDI Premium,2016,39644,Diesel,Automatic,First,17.11 kmpl,1968 CC,174.33 bhp,5,25750
4942,Audi A4 35 TDI Premium Plus,2014,28469,Diesel,Automatic,First,18.25 kmpl,1968 CC,187.74 bhp,5,24370
4236,Audi A4 35 TDI Premium Plus,2015,13506,Diesel,Automatic,First,18.25 kmpl,1968 CC,187.74 bhp,5,21660
1044,Audi A4 35 TDI Technology,2015,45000,Diesel,Automatic,First,18.25 kmpl,1968 CC,187.74 bhp,5,25000
4858,Audi A4 35 TDI Technology,2017,14000,Diesel,Automatic,First,18.25 kmpl,1968 CC,187.74 bhp,5,43000
4676,Audi A4 35 TDI Technology Edition,2015,30000,Diesel,Automatic,First,17.11 kmpl,1968 CC,174.33 bhp,5,27000
4591,Audi A4 35 TDI Technology Edition,2019,38163,Diesel,Automatic,First,17.11 kmpl,1968 CC,174.33 bhp,5,32910
3162,Audi A4 New 2.0 TDI Multitronic,2012,69000,Diesel,Automatic,Second,15.2 kmpl,1968 CC,140.8 bhp,5,10250
2024,Audi A4 New 2.0 TDI Multitronic,2012,44555,Diesel,Automatic,First,15.2 kmpl,1968 CC,140.8 bhp,5,13500
4,Audi A4 New 2.0 TDI Multitronic,2013,40670,Diesel,Automatic,Second,15.2 kmpl,1968 CC,140.8 bhp,5,17740
4922,Audi A4 New 2.0 TDI Multitronic,2008,17000,Diesel,Automatic,First,15.2 kmpl,1968 CC,140.8 bhp,5,9750
3604,Audi A4 New 2.0 TDI Multitronic,2012,60000,Diesel,Automatic,Second,15.2 kmpl,1968 CC,140.8 bhp,5,16000
75,Audi A6 2.0 TDI Design Edition,2014,56000,Diesel,Automatic,Second,18.53 kmpl,1968 CC,187.74 bhp,5,29500
3389,Audi A6 2.0 TDI Design Edition,2012,27090,Diesel,Automatic,First,18.53 kmpl,1968 CC,187.74 bhp,5,16500
3816,Audi A6 2.7 TDI,2011,112719,Diesel,Automatic,First,12.4 kmpl,2698 CC,179.5 bhp,5,11500
3601,Audi A6 2.7 TDI,2009,78000,Diesel,Automatic,First,12.4 kmpl,2698 CC,179.5 bhp,5,8000
33,Audi A6 2.7 TDI,2010,35000,Diesel,Automatic,First,12.4 kmpl,2698 CC,179.5 bhp,5,11500
